127.0.0.1 - - [10/Oct/2024:10:07:40 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:41 +0700] "GET /BTWEB/home HTTP/1.1" 200 60681
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:41 +0700] "GET /assets/global/plugins/slider-layer-slider/skins/fullwidth/skin.css HTTP/1.1" 404 764
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:41 +0700] "GET /assets/frontend/layout/img/up.png HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:41 +0700] "GET /BTWEB/favicon.ico HTTP/1.1" 404 695
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:41 +0700] "GET /assets/global/plugins/slider-layer-slider/css/blank.gif HTTP/1.1" 404 749
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:43 +0700] "GET /BTWEB/login HTTP/1.1" 200 37885
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:43 +0700] "GET /assets/frontend/layout/img/up.png HTTP/1.1" 404 723
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:45 +0700] "POST /BTWEB/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:45 +0700] "GET /BTWEB/waiting HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:45 +0700] "GET /BTWEB/admin/home HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:46 +0700] "GET /favicon.ico HTTP/1.1" 404 685
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:49 +0700] "GET /BTWEB/admin/categories HTTP/1.1" 200 1180
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:49 +0700] "GET /BTWEB/image?fname=1728482329142.jpeg HTTP/1.1" 200 8689
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:49 +0700] "GET /BTWEB/image?fname=1728486773769.webp HTTP/1.1" 200 5698
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:55 +0700] "GET /BTWEB/admin/category/edit?id=1 HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:07:55 +0700] "GET /BTWEB/image?fname=1728482329142.jpeg HTTP/1.1" 200 8689
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:08:01 +0700] "POST /BTWEB/admin/category/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:08:01 +0700] "GET /BTWEB/admin/categories HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:08:01 +0700] "GET /BTWEB/image?fname=1728482329142.jpeg HTTP/1.1" 200 8689
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:08:01 +0700] "GET /BTWEB/image?fname=1728486773769.webp HTTP/1.1" 200 5698
